pose_number,name,avg_energy_percentage,avg_circles_curves_percentage,avg_axis_points_percentage,avg_synchronous_limbs_percentage,avg_external_body_spaces_percentage,avg_shifting_relations_percentage,max_energy_percentage,max_circles_curves_percentage,max_axis_points_percentage,max_synchronous_limbs_percentage,max_external_body_spaces_percentage,max_shifting_relations_percentage
35,สิงห์โตเล่นหาง — A Lion Playing with Its Tail,35.783,37.203,68.443,59.374,68.497,40.626,93.244,100.000,71.102,85.279,95.000,64.816
36,นางกล่อมตัว — A Lady Swaying Her Body,51.960,36.844,68.414,74.780,45.488,25.220,92.807,100.000,71.999,93.620,95.000,59.264
37,บัวชูฝัก — A Blooming Lotus,29.617,37.564,69.234,64.468,66.669,35.532,96.778,100.000,80.918,92.223,95.000,69.339
38,ขอนทิ้งอก — Kon Ting Oak,35.669,31.317,72.503,57.783,54.217,42.217,100.000,100.000,88.746,86.237,95.000,77.268
39,พระลักษณ์แผลงฤทธิ์ — Lakshmana's Rampant,48.532,52.199,69.999,64.144,48.640,35.856,94.166,100.000,83.767,89.694,95.000,74.802
40,เสือทำลายห้าง — A Tiger Destroying a Hunter Lookout Tower,43.727,35.287,74.158,73.190,43.164,26.810,95.410,97.707,87.093,93.642,95.000,67.947
41,ช้างทำลายโรง — An Elephant Destroying a Shed,39.777,41.872,69.585,80.302,47.977,19.698,94.947,97.717,85.070,93.393,95.000,36.900
42,ฉุยฉายเข้าวัง — Gliding into a Palace,35.735,35.446,71.653,60.231,44.568,39.769,100.000,100.000,90.701,86.846,95.000,68.508
43,หนังหน้าไฟ — A Shadow Play Before the Funeral,42.815,43.727,70.144,59.093,56.048,40.907,99.172,100.000,80.311,90.859,95.000,68.187
44,เครือวัลย์พันไม้ — An Ivy Creeping Around a Tree,31.920,40.082,79.676,62.761,37.905,37.239,100.000,100.000,93.121,92.087,95.000,77.800
45,เยื้องพายกฐิน — Yuang Pai Kathin,46.027,41.982,73.707,55.126,51.551,44.874,95.026,100.000,86.146,89.009,95.000,71.640
46,มังกรเล่นน้ำ (มังกรเที่ยวหาวาริน) — A Dragon Playing in the Water,45.424,39.273,75.959,61.826,39.677,38.174,93.002,100.000,90.653,90.297,95.000,73.391
47,ลมพัดยอดตอง — A Wind Blowing the Top of a Banana Leaf,36.226,42.013,72.539,59.333,44.768,40.667,100.000,98.934,91.975,87.540,95.000,78.156
48,จีนสาวไส้ — A Chinese Disembowel Themselves,39.040,37.824,70.388,66.266,40.967,33.734,95.086,100.000,86.778,89.368,95.000,64.304
49,วิสัยแทงตรี — Wi Sai Tang Tri,30.236,36.830,72.657,59.296,65.866,40.704,97.879,100.000,88.455,90.168,95.000,76.309
50,ชนีร่ายไม้ — A Gibbon Swinging Between the Trees,35.700,43.033,68.577,66.095,58.027,33.905,99.231,100.000,70.565,93.514,95.000,75.344
51,ขี่ม้าเลียบค่าย — Riding a Horse Along a Camp,38.100,37.083,71.866,67.967,55.294,32.033,100.000,96.735,82.500,94.266,95.000,69.494
52,นกยูงฟ้อนหาง (มยุเรศฟ้อนหาง) — A Peacock Dancing,25.395,25.118,70.941,54.285,51.370,45.715,100.000,100.000,80.019,85.435,95.000,69.951
53,ขัดจังนาง — Kad Jang Nang,39.578,37.370,77.099,72.760,45.409,27.240,100.000,99.513,91.571,95.548,95.000,66.274
54,เมขลาโยนแก้ว — Mekkala Tossing a Glass Orb,38.223,35.011,77.512,65.761,57.680,34.239,100.000,100.000,89.546,93.784,95.000,86.387
55,กระต่ายต้องแร้ว — A Rabbit Being Caught in a Spring Trap,34.442,39.046,79.031,69.548,60.471,30.452,100.000,100.000,92.931,95.559,95.000,79.449
56,โจงกระเบนตีเหล็ก — Wearing a Loincloth and Forging Steel,36.140,33.714,75.196,58.000,55.647,42.000,100.000,100.000,90.123,94.147,95.000,68.060
57,บังพระสุริยา — Blocking the Sun,38.529,51.022,75.730,56.589,50.067,43.411,100.000,100.000,91.976,87.036,95.000,72.553
58,ชักกระบี่สี่ท่า — Four Ways of Drawing a Sword,32.648,42.984,75.961,59.913,50.122,40.087,100.000,100.000,90.884,88.908,95.000,77.715
59,ประไลยวาต — A Catastrophic Wind,38.918,52.272,73.523,66.567,45.293,33.433,100.000,97.418,90.787,91.406,95.000,71.406
